skill,category,normalized_skill,resume_match_weight,aliases,skill_type,parent_skill
datacenter,Domain-Specific / Other,Datacenter,2,,hard,Domain-Specific / Other
datadriven,Domain-Specific / Other,Datadriven,2,,hard,Domain-Specific / Other
datasets,Domain-Specific / Other,Datasets,2,,hard,Domain-Specific / Other
deadline,Domain-Specific / Other,Deadline,2,,hard,Domain-Specific / Other
debugging,Domain-Specific / Other,Debugging,2,,hard,Domain-Specific / Other
decision,Domain-Specific / Other,Decision,2,,hard,Domain-Specific / Other
delegation,Domain-Specific / Other,Delegation,2,,hard,Domain-Specific / Other
dental,Domain-Specific / Other,Dental,2,,hard,Domain-Specific / Other
deployment,Domain-Specific / Other,Deployment,2,,hard,Domain-Specific / Other
designing,Domain-Specific / Other,Designing,2,,hard,Domain-Specific / Other
detail,Domain-Specific / Other,Detail,2,,hard,Domain-Specific / Other
develop,Domain-Specific / Other,Develop,2,,hard,Domain-Specific / Other
developers,Domain-Specific / Other,Developers,2,,hard,Domain-Specific / Other
developmental,Domain-Specific / Other,Developmental,2,,hard,Domain-Specific / Other
dexterity,Domain-Specific / Other,Dexterity,2,,hard,Domain-Specific / Other
diagnosis,Domain-Specific / Other,Diagnosis,2,,hard,Domain-Specific / Other
digital,Domain-Specific / Other,Digital,2,,hard,Domain-Specific / Other
digitalization,Domain-Specific / Other,Digitalization,2,,hard,Domain-Specific / Other
diligence,Domain-Specific / Other,Diligence,2,,hard,Domain-Specific / Other
disaster,Domain-Specific / Other,Disaster,2,,hard,Domain-Specific / Other
discharge,Domain-Specific / Other,Discharge,2,,hard,Domain-Specific / Other
discovery,Domain-Specific / Other,Discovery,2,,hard,Domain-Specific / Other
documentation,Domain-Specific / Other,Documentation,2,,hard,Domain-Specific / Other
drafting,Domain-Specific / Other,Drafting,2,,hard,Domain-Specific / Other
driving,Domain-Specific / Other,Driving,2,,hard,Domain-Specific / Other
drug,Domain-Specific / Other,Drug,2,,hard,Domain-Specific / Other
electricity,Domain-Specific / Other,Electricity,2,,hard,Domain-Specific / Other
electronic,Domain-Specific / Other,Electronic,2,,hard,Domain-Specific / Other
electronics,Domain-Specific / Other,Electronics,2,,hard,Domain-Specific / Other
electrophysiology,Domain-Specific / Other,Electrophysiology,2,,hard,Domain-Specific / Other
email,Domain-Specific / Other,Email,2,,hard,Domain-Specific / Other
embedded,Domain-Specific / Other,Embedded,2,,hard,Domain-Specific / Other
embedding,Domain-Specific / Other,Embedding,2,,hard,Domain-Specific / Other
engineering,Domain-Specific / Other,Engineering,2,,hard,Domain-Specific / Other
entrepreneur,Domain-Specific / Other,Entrepreneur,2,,hard,Domain-Specific / Other
escalation,Domain-Specific / Other,Escalation,2,,hard,Domain-Specific / Other
esthetics,Domain-Specific / Other,Esthetics,2,,hard,Domain-Specific / Other
estimate,Domain-Specific / Other,Estimate,2,,hard,Domain-Specific / Other
estimating,Domain-Specific / Other,Estimating,2,,hard,Domain-Specific / Other
evaluation,Domain-Specific / Other,Evaluation,2,,hard,Domain-Specific / Other
execution,Domain-Specific / Other,Execution,2,,hard,Domain-Specific / Other
facilitation,Domain-Specific / Other,Facilitation,2,,hard,Domain-Specific / Other
facilities,Domain-Specific / Other,Facilities,2,,hard,Domain-Specific / Other
feedback,Domain-Specific / Other,Feedback,2,,hard,Domain-Specific / Other
finance,Domain-Specific / Other,Finance,2,,hard,Domain-Specific / Other
firmware,Domain-Specific / Other,Firmware,2,,hard,Domain-Specific / Other
forklift,Domain-Specific / Other,Forklift,2,,hard,Domain-Specific / Other
formulation,Domain-Specific / Other,Formulation,2,,hard,Domain-Specific / Other
framework,Domain-Specific / Other,Framework,2,,hard,Domain-Specific / Other
